time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,precipAccumulation,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,dewPoint,humidity,windSpeed,windBearing,visibility,cloudCover,pressure
2014-02-11T06:00:00Z,Clear throughout the day.,clear-day,2014-02-11T13:02:07Z,2014-02-11T23:24:20Z,0.4,0,0,NA,0,NA,NA,-25.48,2014-02-11T13:00:00Z,-11.95,2014-02-11T22:00:00Z,-33.55,2014-02-11T13:00:00Z,-18.23,2014-02-11T22:00:00Z,-23.46,0.64,1.24,201,16.09,0,1032.1
2014-02-12T06:00:00Z,Light snow (1–2 cm.) until afternoon.,snow,2014-02-12T13:00:47Z,2014-02-12T23:25:40Z,0.43,0.0279,0.1549,2014-02-12T19:00:00Z,0.27,snow,1.227,-17.07,2014-02-12T06:00:00Z,-7.78,2014-02-12T22:00:00Z,-25.11,2014-02-12T06:00:00Z,-11.03,2014-02-12T22:00:00Z,-15.72,0.73,2.76,185,12.07,0.22,1022.04
2014-02-13T06:00:00Z,Clear throughout the day.,clear-day,2014-02-13T12:59:25Z,2014-02-13T23:27:01Z,0.46,0.0127,0.3099,2014-02-13T16:00:00Z,0.52,snow,0.495,-9.43,2014-02-13T06:00:00Z,-1.21,2014-02-13T22:00:00Z,-15.17,2014-02-13T14:00:00Z,-5.7,2014-02-13T22:00:00Z,-9.68,0.73,3.38,216,12.91,0.56,1005.97
2014-02-14T06:00:00Z,Clear throughout the day.,clear-day,2014-02-14T12:58:03Z,2014-02-14T23:28:21Z,0.48,0,0,NA,0,NA,NA,-13.39,2014-02-14T11:00:00Z,-5.66,2014-02-14T21:00:00Z,-19.77,2014-02-14T12:00:00Z,-12.33,2014-02-14T21:00:00Z,-14.74,0.68,3.74,301,16.09,0.02,1009.12
2014-02-15T06:00:00Z,Clear throughout the day.,clear-day,2014-02-15T12:56:38Z,2014-02-15T23:29:40Z,0.52,0.0076,0.1549,2014-02-16T05:00:00Z,0.27,snow,0.282,-19.74,2014-02-15T13:00:00Z,-7.73,2014-02-15T20:00:00Z,-25.12,2014-02-15T11:00:00Z,-14.34,2014-02-15T20:00:00Z,-16.57,0.72,1.69,198,14.24,0.09,1017
2014-02-16T06:00:00Z,Clear throughout the day.,clear-day,2014-02-16T12:55:13Z,2014-02-16T23:31:00Z,0.55,0,0,NA,0,NA,NA,-10.49,2014-02-17T02:00:00Z,-5.84,2014-02-16T20:00:00Z,-15.38,2014-02-16T14:00:00Z,-10.88,2014-02-16T20:00:00Z,-12.17,0.76,1.69,9,13.95,0.12,1021.8
2014-02-17T06:00:00Z,Snow (2–5 cm.) until afternoon.,snow,2014-02-17T12:53:47Z,2014-02-17T23:32:19Z,0.58,0.1016,0.4801,2014-02-17T20:00:00Z,0.58,snow,3.16,-8.07,2014-02-17T06:00:00Z,-3.94,2014-02-18T05:00:00Z,-14.29,2014-02-17T06:00:00Z,-9.38,2014-02-18T05:00:00Z,-7.44,0.85,3.32,147,8.69,0.63,1013.73
2014-02-18T06:00:00Z,Clear throughout the day.,clear-day,2014-02-18T12:52:19Z,2014-02-18T23:33:38Z,0.62,0,0,NA,0,NA,NA,-9.41,2014-02-18T11:00:00Z,6.22,2014-02-18T22:00:00Z,-12.99,2014-02-18T12:00:00Z,3.22,2014-02-18T22:00:00Z,-4.77,0.75,2.79,204,12.57,0.07,1006.99
2014-02-19T06:00:00Z,Clear throughout the day.,clear-day,2014-02-19T12:50:50Z,2014-02-19T23:34:57Z,0.65,0,0,NA,0,NA,NA,-1.54,2014-02-19T13:00:00Z,6.23,2014-02-19T20:00:00Z,-5.34,2014-02-19T14:00:00Z,3.67,2014-02-19T20:00:00Z,-4.12,0.64,2.08,243,16.08,0.05,1010.88
2014-02-20T06:00:00Z,Rain in the morning and afternoon.,rain,2014-02-20T12:49:20Z,2014-02-20T23:36:15Z,0.68,0.3251,2.2098,2014-02-21T00:00:00Z,0.76,rain,NA,0.29,2014-02-20T07:00:00Z,4.32,2014-02-21T01:00:00Z,-4.23,2014-02-21T04:00:00Z,-0.63,2014-02-21T01:00:00Z,0.1,0.89,3.86,136,9.69,NA,998.83
